,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
,3201,,然后，使用<color=#bd4104>命运之握（技能4）</color>进行连击，提高连击伤害！,,,
,3301,,接下来，使用<color=#bd4104>飞天·疾斩（技能1）</color>可以减少<color=#bd4104>飞天·重斩</color><br><color=#bd4104>（技能2）</color>或者<color=#bd4104>命运之握（技能4）</color>的冷却时间。,,,
,3401,,哦，已经有足够的奥义值了？但还不到时候……先通过<br>飞天·连斩<color=#bd4104>（技能3）</color>，来<color=#bd4104>强化</color>下一个技能的伤害吧！,,,
,3501,,一切准备就绪，尝尝我的奥义吧，<br>量化·正义裁决<color=#bd4104>（奥义技）</color>！,,,
,3601,,好，想到应对的策略了，接下来，就是将其实现！,,,
,4001,,围攻女孩子真是太差劲了，<br>本大小姐要替所有女生教训你们！,,,
,4101,,先来感受下冰雪的滋味，我的冬祭幻想冰雪<br>能够增加连击数，从而提高伤害值。,,,
,4201,,<color=#bd4104>焰火祭典</color>越多，快门幻想火焰的伤害就越高，就让本大小姐<br>先用夏祭幻想火焰<color=#bd4104>（技能2）</color>，积攒更多的印记吧！,,,
,4301,,对夏祭而言，这还只是开始呢。腾飞吧，空之庆典火鸟<br><color=#bd4104>（技能3）</color>，为它们带去痛苦与焰火祭典！,,,
,4401,,接下来，就用华丽的焰火让庆典达到最高潮吧。焰火祭典<br>已经足够，是时候使用快门幻想火焰<color=#bd4104>（技能4）</color>了！,,,
,4501,,最后，就用这一曲冰龙之怒歌<color=#bd4104>（奥义技）</color>，<br>让他们在失败中，好好认清自己的错误吧！,,,
,4601,,本大小姐的<color=#bd4104>奥义技能</color>能够对所有敌人进行攻击，<br>就让你们这些家伙拜倒在我的魔法之下吧。,,,
,5001,白眼独狼,哟，毛都没有长齐的小屁孩还想偷袭我？<br>你还是回家找妈妈喝奶去吧。,,,
,5002,白眼独狼,大爷我身强体壮，浑身遍布肌肉，<br>你们的<color=#bd4104>物理攻击</color>打在我身上完全就是不痛不痒！,,,
,5101,,什么肌肉啊，明明就是利用毛皮将力量分散了吧！,,,
,5102,,哼，果然还是要本大小姐出马，<br>我要让这只蠢狼见识下芙蕾雅家族魔法的厉害。,,,
,6001,,唔……好痛！奇怪了，为何她总能攻击到我防御的薄弱处？<br>我得了解了解她的<color=#bd4104>特性</color>。,,,
,6101,,原来她打你们男孩子会有暴击率加成~<br>好好休息，接下来就交给我吧！,,,
,7001,,唔……这个女人，好强！<br>这次绝对不能留手，必须倾尽全力，才有可能胜利！,,,
,7101,,她要发起攻击了，快<color=#bd4104>换我上场</color>，打断她的攻击！,,,
,7201,,呜……本大小姐居然……<br>西蒙，接下来的战斗你要全力进攻，绝对不能输！,,,
,8001,,虽然刚刚那么说，但听说挨了这家伙一爪的没几个活下来，<br>看来这次得好好运用我的<color=#bd4104>辅助技能</color>，拼尽全力一战了！,,,
,8101,,切，这爪子，还真是疼得不行！不过当我<color=#bd4104>生命值越低</color>时，<br>反而能激发我的潜能，打出极限伤害。,,,
,9001,,让女孩子打头阵可不像是第一大剑士的作风哟！,,,
,9002,,哼，马上就让你知道小看我的后果！,,,
,9003,,哎呀~这样说大话，可是会吃苦头的哦！看来你对法术的<br>运用还不够熟练，很容易被打断呢……就像这样~！,,,
,9101,,什么？温丽的法术竟然被他打断了！,,,
,9201,,可恶，竟然对我的伙伴下这么重的手，不可饶恕！,,,
,9202,,哦~生气了呢~越是这样，就越容易有招式上的破绽哦~,,,
,9301,,在受到攻击时预判对手的行动，抓住破绽使用<color=#bd4104>辅助技巧</color>……<br>他就是这样打断我和温丽的攻击的么，好，就让我也试试！,,,
,9401,,发现了，招式中的破绽。<br>是时候让他也尝尝招式被打断的感觉了！,,,
,9501,,哦？用了我的战斗技巧？嗯？奥兹之力？<br>看来是兰奇一直夸奖的弟弟呢，果然很有意思~,,,
,9502,,你认识我哥哥？你到底是谁？,,,
,9503,,没有让我失望哦~今天就到这里吧，小果实们！,,,
,9601,,好心提醒你们，悬赏榜上的家伙可不是那么容易对付的。<br>如果不注意它的<color=#bd4104>怪物特性</color>，肯定会吃亏的！,,,
,9701,,这伙卫兵穿着厚厚的盔甲<color=#bd4104>防御很高</color>，而且还会造成<color=#bd4104>群体伤害</color>，我们要想办法应对！,,,
,9702,,趁他还没有提升自己的防御力，先使用连招进行输出！,,,
,9801,,对方给自己附加了<color=#bd4104>守护状态</color>，会减少受到的伤害，下一轮攻击先不要使用奥义技能！,,,
,9901,,本轮注意使用<color=#bd4104>援护技</color>或<color=#bd4104>西蒙的防守技</color>打断敌方的<color=#bd4104>大招</color>，以免受到高额的群体伤害！,,,
,10001,,可恶的家伙，不可饶恕！,,,
,10101,萨米尔,呵，本大爷就用这一击送你上路！,,,
,10102,兰奇,萨米尔，不要做多余的事。<br>西蒙，闪开，让我来阻止他！,,,
,10103,西蒙,哥哥！,,,
,10201,萨米尔,兰奇，你究竟想做什么？！<br>呵，以一敌二，本大爷不陪你们浪费时间了！,,,
,10301,萨米尔,小鬼，你是在给本大爷挠痒痒么？<br>让你见识见识吧，嗜血死神的力量！,,,
,30101,,你要的神器，我拿来了。它足以证明我的诚意。,,,
,30102,？？？,帝国人人称颂的大剑士，做出了弑君叛国的事情。这是为什么？我很好奇。,,,
,30103,？？？,而你想加入圣界的目的又是什么？至于你的诚意，还是由我……,,,
,30201,,记住，无论你的目的是什么，都不可能成为我的阻碍。<br>世界的光将会湮灭，那位大人亦会加冕为王。,,,
,30202,,你的诚意我收下了，希望合作愉快。,,,
,30203,,合作愉快。<br>（这不过是另一种开始……）,,,
,30204,,（兰奇的加入拉开了阴谋的序章，而此时西蒙经过长途跋涉<br>到达湖畔镇。未来的事尚不可知，等待他的是新的冒险。）,,,
,30301,,给我记住，没有下一次！,,,
,30302,,（正当爱琪狠狠教训费玛时，爱琳娜带着西蒙、温丽来到了<br>自律联盟前。）,,,
,100001,,你好！,,,
,100601,,小朋友，快来看看，有新的佣兵任务哦！,,,
,100701,,你一定不知道，自律联盟的成立，<br>是罗兰大帝在酒桌上确定的！,,,
,100801,,岩怪？巨兽？魔族？<br>魔神战争期间我都不知道一拳锤倒多少个了！,,,
,100802,,想要变得和我一样强吗？那就去战斗吧！<br>它们就在自律联盟的告示板上。,,,
,100803,,来吧，年轻勇敢的冒险者们！,,,
,100901,,不要小看任何一个悬赏怪物，它们的危险会让麻痹大意的冒险者们记忆深刻。,,,
,100902,,当然也不要小看自律联盟的报酬，它们也会让英勇归来的冒险者们记忆深刻的！,,,
,101001,,年轻人，有去悬赏公告板那里看过吗？<br>那里可有不少强敌可以挑战呢！,,,
,101002,,想当年，我可是一个人……<br>哈哈哈，不说了，相信你也可以做到的。,,,
,101003,,只要完成指定的悬赏，<br>随时都可以来我这里领取你应得的奖励！,,,
,101101,,很遗憾，你需要完成全部悬赏任务，<br>然后才能获得来自帝国军队的嘉奖。,,,
,101201,,任务还没有完成，<br>你不想就此放弃重金奖励吧！,,,
,101301,,你的勇敢表现，<br>颇有我当年的风范。,,,
,101401,,我还记得你悬赏任务完成得很不错，<br>不如……和大叔喝杯酒庆祝一下？,,,
,101501,,我在晚上有两件事情要做：一件是跟女孩子搭讪，<br>另一件嘛，嘿嘿，我不告诉你……,,,
,101601,,你觉得门口那个美女怎么样，<br>看起来有纳雅族的血统！,,,
,101701,,颜值决定女孩是否愿意跟你聊天，<br>至于后续的事情嘛，还是取决于颜值啊！,,,
,101801,,再过一个小时我就要去约会了，<br>约会对象嘛，到时候再说！,,,
,101901,,每日任务什么的你最好快点，<br>女人们麻烦得很，我可没工夫管你。,,,
,102001,,你今天的任务已经全部完成了！<br>要不要跟我一起去见识大人的世界呀~,,,
,102101,,日常任务就像谈恋爱，完成了今天该做的，<br>明天又会有新的美丽女孩。,,,
,102201,,古加尼尔矢车菊的花瓣和斐波那契数列一样，<br>0，1，1，2，3，5，8，……<br>,,,
,102301,,伦纳德成天不务正业，作为姐姐，我真的很生气！,,,
,102401,,我的弟弟伦纳德一到晚上不见人影，<br>希望他不要做奇怪的事……,,,
,102701,,最值钱的宝物，大概就是终焉之刻了吧！<br>罗兰大帝用它封印了魔君。,,,
,102801,,为什么当年魔族能够击败强大的古代龙？<br>据说是古代龙内部出现了矛盾。,,,
,102901,,宝物之所以是宝物，不是因为宝物本身是宝<br>物，而是宝物被人当作宝物才成为宝物的。,,,
,103001,,如何变得像我一样无所不知？<br>——多读点书，或者，多走点路。,,,
,103101,,对你来说，这个世界的有趣之处在于未知，<br>而我就觉得无聊至极。<br>,,,
,103201,,（艾赛尔转头看了一眼，但很奇怪的是，<br>你的心中好像有小鹿乱撞的感觉。）,,,
,103202,,……你要是不经意间陷入了无聊，<br>那就随时过来，我会在这里等你。,,,
,103301,,像卡诺萨之光被写进了《罗兰颂歌》，<br>而你的样子被刻在了我的心上。,,,
,103401,,哇哦，你很特别。<br>……至少在我眼里。,,,
,103501,,湖畔音乐节不久就要举行了，据说会有一位不愿<br>透露姓名的Mr.缪吉克.辉会作为表演嘉宾到场。,,,
,103601,,有什么事尽管麻烦我，<br>总感觉想和你一起做点什么……,,,
,103701,,他们一听说我是自律联盟的人就怕了。<br>这——就是联盟的威望！,,,
,103801,,联盟委派我到湖畔镇来负责佣兵业务，<br>在这儿的三年间，我见证了镇上渔业的飞速发展。,,,
,103901,,三年的时间，总共有1106位新手来我这里挑战，<br>你不会是第1107位吧！,,,
,104001,,大床房是本旅馆专门为顾客们量身打造的，<br>不过你就不要看了，一个人住，浪费！,,,
,104101,,再过几天就是罗兰情人节了，那可是大帝为露西蒂尼专门设<br>立的。所有房间晚上十二点后半价哦！,,,
,104201,,住店请出示您的身份证明，<br>我们会根据自律联盟提供的通缉档案仔细核查。,,,
,104301,,俺虽然只是一个普通的联盟办事员，但是俺也有梦想。<br>那就是站上舞台，唱俺最喜欢的《在希望的罗兰镇上》。,,,
,104401,,他们都说俺唱歌好听，但俺只是一个普普通通的联盟办事<br>员，唱歌只是俺的爱好。,,,
,104501,,俺给你唱两句吧：俺和俺的罗兰镇，一刻也不能分割~<br>这首歌的歌名叫《俺和俺的罗兰镇》。,,,
,104601,,我最近写了一首新歌，歌曲结合了风车镇当地的民歌特色，<br>过几天我在湖畔音乐节上演唱。,,,
,104701,,我常常跟年轻人讲，做音乐，一定要坚持。想当初我在<br>三月边陲的矮人酒馆驻场，即使困难，也从未放弃。,,,
,104801,,啊，那段年轻的岁月，成就了今天的我。<br>真令人怀念呢！,,,
,104901,,上次，罗兰镇的办事员同事写信告诉我说，他们的生活物资<br>都拖欠一个月了。,,,
,105001,,办事员的工作枯燥无味，每天就是接受委托，发布任务，发<br>放赏金什么的……薪水还不高……,,,
,105101,,一个月前，阿克莱斯的丧尸把我的办公室都啃烂了……<br>联盟派来的修理人员到现在还没来……,,,
,105201,,对不起，我没什么要跟你说的。,,,
,105301,,对不起，我没什么要跟你说的。,,,
,105401,,对不起，我没什么要跟你说的。,,,
,105501,,在神殿之中，隐藏着一把神器，据说他是上古之神的化身。,,,
,105601,,作为自律联盟的优秀佣兵，劝你赶快离开神殿附近的区域。,,,
,105701,,许多想去神殿寻找神器的人都没能活着出来，<br>我劝你知难而退吧。,,,
,105801,,要喝杯大帝春茶吗？<br>这是罗兰大帝最喜欢的茶。,,,
,105901,,以前罗兰大帝和露西蒂尼大法师经常来这里喝茶，<br>一坐就是好几个小时……,,,
,106001,,我可是罗兰皇室的供货商哦！<br>放眼整个雷鸣大陆，我的茶叶品质是最好的。,,,
,106101,,我的气球只送给小朋友，<br>像你这样的成年人，我是不会给的。,,,
,106201,,好心告诉你，半夜绝对不要出门，<br>否则会被半人鱼拖进湖里的！,,,
,106301,,桑妮祭司真是一个好人，除了总喜欢问我要不要结婚……,,,
,106401,,湖畔镇果然是罗兰帝国最美的小镇，<br>我决定在这里多停留一段时间。,,,
,106501,,下一个目的地是哪里呢？是去月神森林看树人，<br>还是去那个神秘的天空城？好纠结啊！,,,
,106601,,世界那么大，你为什么不去看看？成为我的驴友吧。<br>两人一起旅行，还能分摊住宿费呢。,,,
,106701,,为了世界的爱与和平，我不会倒下，我不会气馁。<br>神会指引我前进。,,,
,106801,,神创造了世界，并留下了七件神器。<br>神器分散来在世界各地，默默守护着人们。,,,
,106901,,人类与精灵族的矛盾，应该用爱来化解！,,,
,107001,,我有酒，你有故事吗？,,,
,107101,,根据帝国法规，<br>凌晨三点后到早上十点前是不允许售卖酒类的。,,,
,107201,,多年前，我曾经喝过三月边陲矮人酒馆的啤酒，<br>那个味道令我至今难忘。,,,
,107301,,我可不是在吹牛！我曾经跟随罗兰大帝一起讨伐过魔神。,,,
,107401,,你以为我是一个普通的乞丐吗？那你就大错特错了，<br>其实我是……想知道的话，就多给我点伙食费。,,,
,107501,,之前我生活在北方，我曾听到过一声巨大的悲鸣，仿佛要<br>撕裂天空，或许是传说中巨龙发出的吧。,,,
,107701,,罗兰一世建立了罗兰帝国，而他的儿子罗兰二<br>世让整个帝国发展了起来。,,,
,107801,,我十来岁的时候在魔法协会打过工，现在这身<br>魔法就是在那个时候学的。,,,
,107901,,国王被刺，左相西莫斯又不理政事，管理国家<br>的重任全都压在我头上了。,,,
,108001,,别人总说特罗德是帝国最厉害的魔法师，<br>但我支持诺尔大人，他才是最厉害的魔法师。,,,
,108101,,我十二岁的时候就跟在诺尔大人身边了，<br>现在我已经快三十了，时光啊~,,,
,108201,,听民间谣言，卡诺萨之光是罗兰大帝送给露西<br>蒂尼的定情信物。,,,
,108301,,魔族之心曾是魔族的军事基地，当年有上百万魔<br>族军队驻扎在那里。,,,
,108401,,兰奇被称为帝国第一剑士，我一直都渴望能跟<br>他过招，但每次请求都被他拒绝了。,,,
,108501,,我从没见过兰奇笑过，<br>那家伙笑起来应该蛮帅的吧。,,,
,108601,,魔法协会在很早以前就有了，它存在的目的是让<br>更多人学习魔法，了解魔法。,,,
,108701,,这个时代被称为罗兰帝国时代，上个时代被称为<br>黑暗纪元，那是魔族统治的年代。,,,
,108801,,呵呵，我可能真的老了，竟然会怀念起和罗兰<br>一起征战沙场的日子。,,,
,108901,,在远古的神法时代时期，人类信仰众神，现在<br>人类只信仰英雄，所以教堂存在的意义到底是…,,,
,109001,,这座教堂已经有八十多年的历史了，是一位哥<br>布林先生筹钱建的。,,,
,109101,,在罗兰帝国，结婚的法定年龄是十六周岁，<br>所以，你要结婚吗？,,,
,109201,,知道哀嚎神殿吗？听说只要一靠近那地方就能<br>听到恶灵的哀嚎声，所以才得名哀嚎神殿。,,,
,109301,,作为冒险者，背叛者裂谷是必须要去一趟的，<br>那里是人类领地跟精灵领地的分界线。,,,
,109401,,这个小镇是50年前更名为罗兰镇的，目的是为<br>了歌颂伟大的罗兰大帝。,,,
,109501,,没空，走开。,,,
,109601,,不要打扰我喝下午茶。,,,
,109701,,走路时不要踩到草坪。,,,
,109801,,哼，兰奇那混蛋也有今天。,,,
,109901,,米修说它可以一个月不吃东西，好厉害啊~,,,
,110001,,由莉的爸爸妈妈以前在卡诺萨做生意，<br>每次从卡诺萨回来都会给由莉买很多好吃的。,,,
,110101,,米修跟由莉都是素食主义者哦。,,,
,110201,,我唯一的偶像是罗兰大帝，他驱逐魔族，收复<br>雷鸣大陆，没有他，就没有现在的生活。,,,
,110301,,湖畔镇的这个湖泊叫做白瑙湖，白瑙湖的鲈鱼<br>曾排在雷鸣大陆食材榜榜首。,,,
,110401,,罗兰镇最出名的菜叫做山海烧，是用白瑙湖鲈<br>鱼跟翡翠蘑菇一起做出来的。,,,
,110501,,听大人们讲，<br>湖畔镇是罗兰帝国环境最优美的小镇。,,,
,110601,,湖畔镇最多的怪物是半鱼人，他们专吃像我这<br>种小朋友，所以我晚上一般不出门。,,,
,110701,,告诉你一个秘密，半鱼人的武器其实是用同伴<br>的尸骨做成的。,,,
,110801,少女,未来事情会发展成怎样呢？,,,
,110901,少女,我该如何才能继承爷爷的精神。,,,
,111001,少女,我的爷爷是位伟大的英雄。,,,
,111101,,我的项链……,,,
,111201,,罗兰镇的雨季是六月份。,,,
,111301,,妈妈说晚上不能出门，会遇到坏人的。,,,
,111401,,罗兰雕像高三十四米，是五名宫廷匠师费时三<br>年打磨而成，是罗兰镇最壮观的建筑。,,,
,111501,,听说过圣界组织？传言他们每人都有单挑巨龙<br>的实力。,,,
,111601,,罗兰镇的人口是两万八千人，<br>男女比例是四比五。,,,
,111701,,今天才逮捕了九位强盗，离目标还差三位。,,,
,111801,,在雷鸣大陆的这几个小镇中，<br>罗兰镇是最和平的。,,,
,111901,,罗兰镇的草莓酒还不错，<br>晚点得去喝一杯。,,,
,112001,,神器光明使者是一把断剑，是五十年前被魔神<br>希摩尔斩断的。,,,
,112101,,风车镇每年八月十三日会举行风车节，<br>帝国各地的居民都会来参加。,,,
,112201,,催动风车转动的魔力石是从精灵那边获得的。,,,
,112301,,库伯拉长老跟我说，每年卡诺萨灵魂画奖第一<br>名都是我耶。,,,
,112401,,安可也有在学校上学哦，因为每天都会失忆，<br>所以每次考试安可都考倒数第一名。,,,
,112501,,安可身上的这只小熊是库伯拉长老送的，<br>这些在画册上都有记载哦。,,,
,112601,,哥布林十二兄弟是哥布林王国最著名的战士，<br>哈扎克就是他们中的一员。,,,
,112701,,哥布林巢穴位于风车镇东边，每年都有勇士想<br>要去铲除哥布林，但都无功而返。,,,
,112801,,如果你在风车镇丢了东西，别怀疑，<br>直接去哥布林巢穴找就对了。,,,
,112901,,我年轻的时候在北方见过比风车镇还大的巨龙，<br>大概那就是传说中的古代龙吧。,,,
,113001,,你认识比多猫吗？它以前在雷鸣大陆旅行的时<br>候，我给过它很多小鱼干。,,,
,113101,,《罗兰镇史》上有记载，鹿角兽有一位统领，<br>为名四蹄神，是魔神希摩尔的手下。,,,
,113201,,在大风车的上方能够看到远方的哀嚎神殿，<br>传说里面藏着一把神器。,,,
,113301,,你听说过圣界吗？北方已经传得沸沸扬扬，听说<br>他们一共三百人，每人还带五百位小弟。,,,
,113401,,西北处的森林是山岩领主蒙多的领地，<br>你冒险的时候最好小心一点。,,,
,113501,,亏大了，亏大了，这一趟下来又亏了好多钱。<br>都是那该死的莱克。,,,
,113601,,我跟你讲我可是哥布林十二兄弟之一你们最好<br>对我客气一点。,,,
,113701,,哥布林十二兄弟我在里头排第十。,,,
,113801,,我的小果实~不要辜负我对你的期望哦。,,,
,113901,,知道天空城纳雅吗？传说整座城市都是用鲜花<br>铺成的。,,,
,114001,,天空城纳雅真的存在吗？我父亲一直在寻找那<br>个地方，我也有点好奇呢。,,,
,114101,,认识风车镇的菲丝吗？<br>店里的鲜花很多都是她负责供应的。,,,
,114201,,知道哀嚎神殿？听说里面藏着一把神器。<br>不过那地方都是恶灵，寻常人根本进不去。,,,
,114301,,因为气候的缘故，这里的农作物收成很差，<br>所以我们的粮食主要从湖畔镇运来。,,,
,114401,,在阿克莱斯旅行一定要注意巨骨熊，这片土地以<br>前是它们的领地，所以它们对人类特别敌视。,,,
,114501,,看到那座雕像了吗，那是露西蒂尼雕像，<br>是阿克莱斯居民为了纪念露西蒂尼建立的。,,,
,114601,,露西蒂尼是罗兰大帝的初恋情人，不过她在25岁<br>的时候就去世了，这段感情也就没再继续下去。,,,
,114701,,听说过圣界组织吗？听说他们都是无头骑士，<br>并且对未婚少女下手。,,,
,115101,,我已经把知道的全部告诉你了你不要再来烦我啊。,,,
,115501,贝拉,我们正在搞一件大事情。,,,
,116801,,沃萌……四…鸡七人……,,,
,116901,,没有人甘愿堕落，我们也曾努力，并且现在也一直都在努力，<br>但还是被现实压倒。,,,
,117001,,卡诺萨真的超级繁华啊。<br>听长者们说这座城已经有超过一千年的历史了。,,,
,117007,,这座城市可以说是人类文明的中心了，<br>从神法时代开始它就一直存在在这里。,,,
,117008,,我很喜欢这座城市，就是房价高了点。,,,
,117101,,咕叽咕叽~~噗！,,,
,117201,,头条！头条！今日头条！！<br>在风车镇上空发现有不明飞行物经过！,,,
,117301,,音乐是一种药，它治好了我所经历的苦难。,,,
,117401,,下一个课题要研究的是热导力装置，通过热力与气压来制造<br>气流，从而实现垂直飞行。,,,
,117501,,这条路上，请抹掉你的名字，跟亲友告别。<br>你哪还有爱人，你哪还有亲人。,,,
,117901,,肥船…药……上天了……,,,
,118001,,森莫？…你缩…听布咚……沃滴话…吗……,,,
,118101,,罗兰币的正面是罗兰像，背面是一只狮鹫，<br>那狮鹫是罗兰的坐骑。,,,
,118201,,听说要成立一个乞丐协会，如果可以我想成为他们的会长。,,,
,118301,,噗噗~咕叽噗~,,,
,118401,,咕叽~咕叽~,,,
,118501,,头条！头条！今日头条！！<br>湖畔镇蒂姆家的阿噗生了6胞胎，并且全是母的！,,,
,118601,,头条！头条！今日头条！！<br>风车镇的桑妮以前暗恋过罗兰镇的大卫！,,,
,118701,,感谢兔人伙伴的支持，我会将他们唱进歌曲里的。,,,
,118801,,我会唱好每一首歌的，下次歌王赛，我会再拿到冠军的。,,,
,118901,,通过赫德尔计算公式跟达尼尔理论可以得出，<br>我要再吃1028个面包才能长3厘米。,,,
,119001,,我透露一个消息……帝国科学院正在研究很厉害的武器……,,,
,119101,,朋友啊，累了不低头，爱了就别回头。,,,
,119201,,哦，你问我唱的歌曲名称吗？<br>它叫《英雄行叙》，是大诗人Mr.捷写的。,,,
,119301,比格,碳烤小鱼干配合温牛奶食用，味道极佳！<br>像我这样的大胃喵，完全可以自己吃掉两杯喵。,,,
,119401,比格,想要征服我，就要先征服我的胃。,,,
,119501,比格,小鱼干，赛高喵。,,,
,119601,图特,我是家族里的大哥，我超凶的！<br>昨天可是拍死了三只小蚂蚁呢！,,,
,119701,图特,不准再看我，再看我，我就咬你了！,,,
,119801,图特,在调戏我的话，我就叫人了！<br>——铁臂罩我！！！,,,
,119901,斯利,当然，如果有人可以摸摸我的肚子，那就更好了。,,,
,120001,斯利,啊~是你呀~<br>喵喵喵~好久没来看人家了~,,,
,120101,斯利,喵喵喵~是要喂我东西吃吗~好开心哦~<br>让我猜猜是不是……湖畔鲈鱼！,,,
,120201,弗斯,愚蠢的人类，别打扰本喵睡觉。,,,
,120301,弗斯,愚蠢的人类，本喵渴了，你知道该怎么做吧。,,,
,120401,弗斯,愚蠢的人类，太阳太刺眼了，给本喵打伞。,,,
,120501,费夫,我可不是我们家那个愚蠢的小弟，<br>我比他英俊多了，胡子比他长0.22毫米呢！,,,
,120601,费夫,我最近刚刚通过了喵语专业八级考试，<br>以后请叫我喵博士。,,,
,120701,费夫,猫体内的激素随天气的变化而变化，<br>天气好的时候想睡觉，天气不好的时候不想动。,,,
,120801,谢克斯,我站在了喵生的十字路口……<br>我正在思考中午吃什么的人生哲学喵。,,,
,120901,谢克斯,狂欢是一群喵的寂寞，寂寞是一只喵的狂欢。,,,
,121001,谢克斯,猫的好感，不是一块小鱼干就可以收买的，<br>起码要给一盆先。,,,
,121101,头条哥布林,震惊！露西蒂尼竟然背着罗兰大帝出现在左相领地！,,,
,121201,头条哥布林,面红耳赤！泰雷深夜同彪形大汉激烈肉搏！,,,
,121301,头条哥布林,天哪！风车镇竟然有一架风车！<br>百分之九十九的罗兰人都不知道！,,,
,121401,卓娜,伦纳德刚才朝我笑了一下！<br>啊啊啊完全不行啊！头脑已经被伦纳德给占满了！<br>,,,
,121501,卓娜,我每天都会来这里看伦纳德，<br>坚持了这么久，他应该可以眼熟我了吧！<br>,,,
,121601,卓娜,嗨，伦纳德！看这边，这里！<br>……呜呜，他好像在跟别的女孩子聊天……<br>,,,
,121701,巨斧战士塔克,他们说我是悬赏任务里的巨斧屠夫，少开玩笑了行<br>吗？如果我去做悬赏任务，岂不是自己打自己？,,,
,121801,巨斧战士塔克,不着急，等等看，<br>让我找个最贵的任务，今天的午饭就有着落咯！,,,
,121901,巨斧战士塔克,这好像是最贵的任务了……不不不，等等看，<br>说不定后面还有更贵的……,,,
,122001,外乡人里茨,俺知道卡诺萨什么都好，有大宫殿，有好吃的，还有漂亮姑娘，可是俺要为了梦想而努力……,,,
,122101,外乡人里茨,俺有一个梦想……<br>来到自律联盟这个大舞台，展示自己的才能。,,,
,122201,外乡人里茨,俺想加入自律联盟，<br>可俺总是考核失败……,,,
,122301,旅行者艾力,我见证过冒险者们穿越深不见底的背叛者峡谷，<br>那成为激励我继续前行的力量。,,,
,122401,旅行者艾力,旅行之于我就好像——在纷杂的世俗里，把自己想象<br>一朵三色堇，随风飘摇。,,,
,122501,旅行者艾力,我曾在福基米尔山巅望向天空，<br>晴空的背后是不是有一座我未尝经历过的城。,,,
