,id,Name,Intention,talks,detailDes
,10269,水晶球里的人,意想不到的重逢,,
,10270,今天开始当保镖,去自律联盟打听消息,,
,10271,冒险者的灾难,前往三月边陲,,
,10272,冒险者的灾难,救下受伤的冒险者,,
,10273,冒险者的灾难,将伤者送回营地,,
,10274,日行一善,打听魔能飞艇的消息,,
,10275,日行一善,冒险者与女巫的矛盾,,
,10276,日行一善,战胜戈壁火狐,,
,10277,日行一善,获得芜拉草[count 1],,
,10278,日行一善,布雷登，你的芜拉草,,
,10279,我选择相信,向首领了解情况,,
,10280,我选择相信,和费米去女巫古堡,,
,10281,小女巫的退让,前往女巫古堡,,
,10282,女巫古堡,通关女巫古堡,,
,10283,和解，当然是……,返回营地,,
,10284,和解，当然是……,戛然而止的谈判,,
,10285,背后的真凶,激烈的争执,,
,10286,背后的真凶,战胜假费米,,
,10287,魔能结晶,揭露假费米的身份,,
,10288,魔能结晶,回到营地休息,,
,10289,魔能结晶,达到34级,,
,10290,出发！三月边陲,温丽的预言梦,,
,10291,出发！三月边陲,乘坐飞艇,,
,10292,出发！三月边陲,飞跃背叛者裂谷,,
,10293,永无白昼的森林,探寻<color=#00FF0C>永夜森林</color>,,
,10294,永无白昼的森林,英雄救美,,
,10295,暗精灵之殇,不死者之迷,,
,10296,暗精灵之殇,暗精灵首领的无奈之举,,
,10297,接踵而来的工作,抑制黑暗的<color=#00FF0C>水晶</color>,,
,10298,接踵而来的工作,用于固定的<color=#00FF0C>骨刺</color>,,
,10299,接踵而来的工作,神出鬼没的大法师,,
,10300,大法师的踪迹,寻找大法师,,
,10301,大法师的踪迹,寻找大法师,,
,10302,大法师加林,初见大法师,,
,10303,大法师加林,护送加林,,
,10304,大法师加林,沉眠吧，不死者,,
,10305,大法师加林,沉眠吧，不死者,,
,10306,大法师加林,沉眠吧，不死者,,
,10307,加林的苦衷,加林的疑点,,
,10308,加林的苦衷,跟上加林看看,,
,10309,加林的苦衷,加林的黑魔法？,,
,10310,加林的苦衷,逃脱的不死者,,
,10311,加林的苦衷,聆听加林的苦衷,,
,10312,凋零之地,通关凋零之地,,
,10313,新的突破,加林的指引,,
,10314,新的突破,出逃的不死者,,
,10315,加林的计划,加林的觉悟,,
,10316,加林的计划,加林的行动,,
,10317,事件终结,下一步的安排,,
,10318,木工狂人,怪脾气的木匠,,
,10319,木工狂人,采集<color=#00FF0C>桑木</color>,,
,10320,怪脾气的木匠,听候差遣,,
,10321,怪脾气的木匠,为何木工需要<color=#00FF0C>熊皮</color>？,,
,10322,制作船只,达到42级,,
,10323,森之住民,抵达月神森林,,
,10324,森之住民,达到38级,,
,10325,部落冲突,被厌恶的人类与德鲁伊,,
,10326,部落冲突,危机突发,,
,10327,部落冲突,表明来意,,
,10328,部落冲突,暂时性的合作,,
,10329,不受欢迎的访客,说服木禅,,
,10330,危机四伏,前往德鲁伊部落,,
,10331,不受欢迎的访客,进入德鲁伊部落,,
,10332,神器危机,解释缘由,,
,10333,神器危机,首领，我们是为了……,,
,10334,神器危机,与此同时,,
,10335,神器危机,前往银母矿洞,,
,10336,追击檐鬼,对话阿德琳,,
,10337,神器危机,敌人，檐鬼！,,
,10338,拦路的矿洞守卫,无法前行的木禅,,
,10339,拦路的矿洞守卫,充满敌意的矮巨人,,
,10340,银母矿洞,战胜檐鬼,,
,10341,寻回神器,质问与计划,,
,10342,寻回神器,和解的部族,,
,10343,魔物的背后,背弃森林的选择,,
,10344,魔物的背后,找寻线索,,
,10345,魔物的背后,幕后真凶,,
,10346,魔物的背后,发狂的魔物,,
,10347,纷争的真相,是时候揭露真相了,,
,10348,新的伙伴,达到40级,,
,10349,新的伙伴,邀请木禅,,
,10350,新的伙伴,邀请阿德琳,,
,10351,森之住民,突如其来的救援,,
,10367,再见，永夜森林,前往<color=#00FF0C>迷雾森林</color>,,
,10368,怪脾气的木匠,总之交上准没错,,
,10369,总会有意外发生,葛莱蒂丝的关心,,
,10370,总会有意外发生,前往呼救声处,,
,10371,出动，救援小分队,前往冒险者之家,,
,10372,总会有意外发生,出动，救援小分队,,
,10373,好奇心旺盛的冒险队,与埃尔文交谈,,
,10374,好奇心旺盛的冒险队,“敏锐”的观察力,,
,10375,好奇心旺盛的冒险队,救出被掳的队员,,
,10376,失踪的队员,真挚的感谢,,
,10377,失踪的队员,返回冒险者之家,,
,10378,失踪的队员,失踪的胆小鬼,,
,10379,迷失的杰诺,寻找杰诺,,
,10380,精灵族秘法,采集雾影草,,
,10381,精灵族秘法,获得鹿角茸,,
,10382,精灵族秘法,治疗杰诺,,
,10383,迷雾重重,蛊惑人心的恶魔,,
,10384,迷雾重重,遗落的手记,,
,10385,迷雾重重,发现手记,,
,10386,迷雾重重,阅读手记,,
,10387,激战石像鬼,了解真相,,
,10388,激战石像鬼,打败石像鬼,,
,10389,激战石像鬼,奇怪的留言,,
,10390,意外再次降临,寻找精灵宝珠,,
,10391,意外再次降临,处理突发的意外,,
,10392,意外再次降临,与阿德琳交谈,,
,10393,意想不到的重逢,发现精灵宝珠,,
,10394,意想不到的重逢,重遇“老朋友”,,
,10395,意想不到的重逢,战胜贝拉,,
,10396,意想不到的重逢,贝拉的怒火,,
,10397,宝珠历险记,感应精灵宝珠,,
,10398,宝珠历险记,寻找精灵宝珠,,
,10399,刺人的玫瑰,绝境中的玫瑰团,,
,10400,刺人的玫瑰,帮助玫瑰团,,
,10401,玫瑰团苦衷,上前询问伤势,,
,10402,树心城，解封！,下一步计划,,
,10403,树心城，解封！,尝试解开封印,,
,10404,树心城，解封！,解封树心城,,
,10405,树心城,战胜蜘蛛女王,,
,10406,迷失的杰诺,可疑的脚印,,
,10407,激战石像鬼,达到44级,,
,10409,意外的收获,向萨林致谢,,
,10410,泰坦之魂,消灭暗骑首领,,
,10411,泰坦之魂,消灭巨熊首领,,
,10412,泰坦之魂,消灭巨石首领,,
,10413,关于神谕会议的一切,关于神谕会议的一切,,
,10414,泰坦之魂,呼唤泰坦之魂,,
,10415,是骗局吗？,获得泰坦之魂的认可,,
,10416,冒险者的灾难,收集兽皮[count 3],,
,10417,细节决定成败,采集狐薄荷[count 1],,
,10418,细节决定成败,引开边陲沙狐,,
,10419,细节决定成败,采集狐薄荷[count 1],,
,10420,细节决定成败,引开边陲沙狐,,
,10422,出发！三月边陲,温丽的预言梦,,
,10423,冒险者的灾难,给，你要的兽皮,,
,10424,童稚之城,告别阿比旦,,
,10427,出发，阿克莱斯,向安道夫打听消息,,
,10428,出发，阿克莱斯,达到24级,,
,10429,出发，阿克莱斯,前往自律联盟,,
,10430,奇怪的管家,援助佣兵伊什,,
,10431,美酒佳酿,安道夫先生的请求,,
,10432,美酒佳酿,新奇的认购法,,
,10433,美酒佳酿,寻徽章购佳酿[count 1],,
,10434,美酒佳酿,意料之外的惊喜,,
,10435,美酒佳酿,安道夫先生，你的酒,,
,10436,失踪的泰雷,特殊的受困者,,
,10437,再见，古加尼尔,与葛莱蒂丝告别,,
,10438,再见，古加尼尔,向赫丽复命,,
,10439,不好啦，地震了！,达到46级,,
,10611,湖畔镇，我来了！,前往湖畔镇,,
,10613,水晶球里的人,意想不到的重逢,,
,10618,长着翅膀的人,达到47级,,
,10440,不好啦，地震了！,接听意外来电,,
,10441,从天而降的船,调查震动原因,,
,10442,从天而降的船,调查坠落的船只,,
,10443,从天而降的船,进入船舱,,
,10444,长着翅膀的人,研究奇怪的仪器,,
,10445,长着翅膀的人,寻找特罗德求助,,
,10446,纳雅城，我来了！,登上飞船,,
,10447,猎魔人的危机,水闸，关闭,,
,10448,猎魔人的危机,排水口，开启,,
,10449,尴尬的着陆点,抵达天空城,,
,10450,危险！战斗来袭,履行承诺,,
,10451,危险！战斗来袭,战胜枭鹰,,
,10452,弗莱特的心愿,弗莱特的主意,,
,10453,弗莱特的心愿,收集材料,,
,10454,弗莱特的心愿,听，有人在吵架,,
,10455,弗莱特的心愿,获得羽胫,,
,10456,弗莱特的心愿,获得乌铁[count 1],,
,10457,弗莱特的心愿,给，你要的材料,,
,10458,神秘的米兰达,拜访米兰达,,
,10459,神秘的米兰达,见证奇迹诞生,和纳雅人对战？<br>呵，你们真是可悲又可笑。$$你们根本没有意识到<br>自己的渺小！,
,10460,奇迹的诞生,达到48级,,
,10461,奇迹的诞生,特别的委托,,
,10462,奇迹的诞生,去找米兰达,,
,10463,少年的勇气,劝说米兰达,,
,10464,少年的勇气,劝说米兰达,,
,10465,少年的勇气,弗莱特的踪迹,,
,10466,少年的勇气,米兰达的抉择,,
,10467,少年的勇气,弗莱特的心意,,
,10468,少年的勇气,米兰达的感谢,,
,10469,少年的勇气,米兰达的感谢,,
,10470,少年的勇气,传说，只是传说,,
,10472,传说中的天空城,抵达天空城,,
,10473,快跑，背后有……,摆脱卫兵,,
,10474,快跑，背后有……,摆脱卫兵,,
,10475,快跑，背后有……,躲避卫兵的追击,你们一定听过我爸爸的名字，他叫希波。$$我的爸爸是纳雅百年来最优秀的科学家。,
,10476,人类使者，参上！,前往王宫,,
,10477,人类使者，参上！,觐见女王,,
,10478,卡诺萨名侦探,调查事件之家访,,
,10479,卡诺萨名侦探,傲慢的大臣,,
,10480,卡诺萨名侦探,傲慢的大臣,,
,10481,卡诺萨名侦探,调查事件之家访,,
,10482,卡诺萨名侦探,搜查队，出动,,
,10483,卡诺萨名侦探,搜查队，出动,,
,10484,卡诺萨名侦探,讨论调查方向,,
,10485,卡诺萨名侦探,拜访玛露茜,,
,10486,卡诺萨名侦探,前往不冬岛,,
,10487,卡诺萨名侦探,调查“外来生物”,,
,10488,卡诺萨名侦探,暗中观察的大臣,,
,10489,真相只有一个,向玛露茜询问,,
,10490,真相只有一个,向玛露茜询问,,
,10491,真相只有一个,赶往神迹实验室,,
,10492,真相只有一个,调查神迹实验室,,
,10493,难解的感情,安全了，回家吧,,
,10494,难解的感情,安全了，回家吧,,
,10495,纳雅城二三事,转性的大臣,,
,10496,纳雅城二三事,汇报调查结果,,
,10497,纳雅城二三事,搜查队，出动,,
,10508,少年的勇气,前往纳雅城,,
,10509,向上吧！少年,前往阿诺特岛,,
,10510,编号2154事件·一,帮忙扬博士打听,,
,10511,编号2154事件·一,帮忙扬博士打听,,
,10512,编号2154事件·一,帮忙扬博士打听,,
,10513,编号2154事件·一,看，地上有东西,,
,10514,编号2154事件·一,跟着线索走,,
,10515,编号2154事件·一,转头，后面有……,,
,10516,编号2154事件·一,思考下一步计划,,
,10517,编号2154事件·二,回头找小乌龟,,
,10518,编号2154事件·二,追查蕾茵的下落,,
,10519,编号2154事件·二,走，炖乌龟去,,
,10520,编号2154事件·二,寻找蕾茵,,
,10521,编号2154事件·二,了解事情始末,,
,10522,编号2154事件·二,返回深海实验室,,
,10523,编号2154事件·二,告别蕾茵,,
,10524,真相只有一个,前往阿诺特岛,,
,10525,真相只有一个,调查深海实验室,,
,10526,凯旋而归,返回龟村,,
,10527,凯旋而归,返回龟村,,
,10528,凯旋而归,休息，很重要,,
,10529,特殊的跟踪技巧,一探究竟,,
,10530,特殊的跟踪技巧,跟踪默希娅,,
,10531,圣界的秘密,追击默希娅,,
,10532,圣界的秘密,拦住默希娅,,
,10533,圣界的秘密,逼问默希娅,,
,10534,圣界的秘密,遇见意外的人,,
,10535,为美食而战,赶回龟村,,
,10536,为美食而战,向长老打听消息,,
,10537,为美食而战,收集龟纹叶[count 3],,
,10538,为美食而战,狩猎棕尾熊,,
,10539,为美食而战,采集棕尾熊肉[count 3],,
,10540,为美食而战,前往阿诺特岛,,
,10541,长着翅膀的人,寻找特罗德求助,,
,10542,神谕会议,达到32级,,
,10543,今天开始当保镖,达到16级,,
,10544,今天开始当保镖,去自律联盟打听消息,,
,10545,泰坦之魂,达到36级,,
,10546,越过山和大海,穿越阿诺特山脉,,
,10547,越过山和大海,休息一下，马上回来,,
,10548,越过山和大海,饭后闲聊,,
,10549,越过山和大海,继续前进,,
,10550,越过山和大海,教训扬博士,,
,10551,越过山和大海,逼问扬博士,,
,10552,旅行者的求助,前往阿诺特岛,,
,10553,旅行者的求助,获得木棍[count 1],,
,10554,旅行者的求助,木棍已送达,,
,10555,大渣子味的掠夺者,前往掠夺者基地,,
,10556,大渣子味的掠夺者,换取精炼钢,,
,10557,大渣子味的掠夺者,勉为其难的感谢,,
,10558,大渣子味的掠夺者,换取精炼钢,,
,10559,大渣子味的掠夺者,换取精炼钢,,
,10560,大渣子味的掠夺者,换取精炼钢,,
,10561,大渣子味的掠夺者,掠夺者的退让,,
,10562,大渣子味的掠夺者,获得铁齿轮[count 1],,
,10563,大渣子味的掠夺者,首领，你在哪,,
,10564,游说是个技术活,拜访首领,,
,10565,游说是个技术活,无法预料的走向,,
,10566,游说是个技术活,不好，碰壁了,,
,10567,请拉响防空警报,找到摩尼耶,,
,10568,请拉响防空警报,购买硬纹螺丝,,
,10569,请拉响防空警报,有空袭，请注意,,
,10570,请拉响防空警报,讨论空袭原因,,
,10571,请拉响防空警报,获得龟纹驱虫液,,
,10572,请拉响防空警报,你的驱虫液到了,,
,10573,直男的危机,找到摩尼耶,,
,10574,直男的危机,获得鹰眼石[count 1],,
,10575,直男的危机,摩尼耶的致谢,,
,10576,和平谈判,拜访首领,,
,10577,和平谈判,劝说首领,,
,10578,和平谈判,劝说首领,,
,10579,甜言蜜语的假象,商量对策,,
,10580,甜言蜜语的假象,意外的对手,,
,10581,甜言蜜语的假象,糟糕，体力告罄,,
,10582,甜言蜜语的假象,快看，援兵来了,,
,10583,甜言蜜语的假象,战胜摩尼耶,,
,10584,拜恩的决定,返回基地大厅,,
,10585,拜恩的决定,劝说首领,,
,10586,拜恩的决定,告别米兰达,,
,10587,物资，请查收,返回天空城,,
,10588,物资，请查收,休息，了解一下,,
,10589,物资，请查收,休息时间,,
,10590,物资，请查收,护送物资,,
,10591,物资，请查收,送货上门,,
,10592,物资，请查收,送货上门,,
,10593,物资，请查收,送货上门,,
,10594,物资，请查收,送货上门,,
,10595,出发，口袋岛,新的任务,,
,10596,出发，口袋岛,前往口袋岛,,
,10598,出发，阿克莱斯,返回卡诺萨城,,
,10607,传说中的天空城,抵达天空城,,
,10609,纳雅城，我来了！,前往纳雅天空城,,
,10610,仗势欺人,制止放肆的卫兵,,
,10614,游说是个技术活,达到52级,,
,10615,向上吧！少年,达到50级,,
,10616,凯旋而归,达到51级,,
,10617,出发，口袋岛,达到53级,,
,10619,冒险者，你真棒！,已完成目前所有任务,,
,10620,少年的勇气,达到49级,,
,10622,精灵公主的请求,圣界齐聚,,
,10623,纳雅城，我来了！,前往飞船停靠点,,
,10625,口袋岛，抵达,抵达口袋岛,,
,10626,口袋岛，抵达,嘀——机器人呀,,
,10627,口袋岛，抵达,调查铁皮镇,,
,10628,代号浮士德,意外的发现,,
,10629,代号浮士德,询问浮士德72,,
,10630,代号浮士德,拉响战斗警备,,
,10631,代号浮士德,一根筋的浮士德72,,
,10632,代号浮士德,启动抹杀命令,,
,10633,光的指引,温丽的推测,,
,10634,光的指引,调查线索,,
,10635,光的指引,调查线索,,
,10636,光的指引,跟随光的指引,,
,10637,光的指引,调查线索,,
,10638,光的指引,光的背后,,
,10639,最后的话,调查线索,,
,10640,最后的话,小心，有伏击,,
,10641,最后的话,调查线索,,
,10642,博士的意志,激活浮士德72,,
,10643,博士的意志,前往黄金立方,,
,10644,说个秘密给你听,兰奇的秘密,,
,10645,说个秘密给你听,机器人的眼泪,,
,10646,动员大会,浮士德72的决定,,
,10647,动员大会,联军集结,,
,10648,动员大会,女王的宣言,,
,10649,失踪的泰雷,特殊的受困者,,
,10650,口袋岛，抵达,调查铁皮镇,,
,10651,口袋岛，抵达,调查铁皮镇,,
,10652,口袋岛，抵达,调查铁皮镇,,
,10653,说个秘密给你听,讨论下一步计划,,
,10654,说个秘密给你听,圣界“内讧”,,
,10655,黑龙战舰,缉拿亚兹莫,,
,10656,不辱使命,押送亚兹莫,,
,10657,不辱使命,女王的决定,,
,10658,不辱使命,消灭残余反叛军,,
,10659,女王叫我去巡查,觐见塔蕾娅女王,,
,10660,女王叫我去巡查,进行巡查,,
,10661,女王叫我去巡查,进行巡查,,
,10662,女王叫我去巡查,进行巡查,,
,10663,女王叫我去巡查,回禀塔蕾娅女王,,
,10664,纳雅公审,爆炸性发言,,
,10665,纳雅公审,审判亚兹莫,,
,10666,纳雅公审,战胜愤怒,,
,10667,纳雅公审,信徒的恳求,,
,10668,唱歌不如跳舞,化妆时间，勿扰,,
,10669,唱歌不如跳舞,参加庆功宴,,
,10670,唱歌不如跳舞,前往王宫,,
,10671,唱歌不如跳舞,啊，年轻真好,,
,10672,请不要误会,塔蕾娅的心意,,
,10673,请不要误会,塔蕾娅的邀请,,
,10674,女王叫我去巡查,达到55级,,
,10675,博士的意志,达到54级,,
,10676,湖畔镇，我来了！,何为胜者,,
,10677,再见了，由莉,解读阿噗语,,
,20336,保护村镇,击退白眼独狼[count 1],,骄傲的狼不需要伙伴。白眼独狼哭着朝对面的情侣喊道。
,20337,保护村镇,击退白眼独狼[count 1],,骄傲的狼不需要伙伴。白眼独狼哭着朝对面的情侣喊道。
,20338,保护村镇,击退白眼独狼[count 1],,骄傲的狼不需要伙伴。白眼独狼哭着朝对面的情侣喊道。
,20339,保护村镇,击退白眼独狼[count 1],,骄傲的狼不需要伙伴。白眼独狼哭着朝对面的情侣喊道。
,20340,保护村镇,击退白眼独狼[count 1],,骄傲的狼不需要伙伴。白眼独狼哭着朝对面的情侣喊道。
,20341,碎魂狼王的复仇,战胜碎魂狼王[count 1],,这是一匹来自北方的狼王，走在湖畔镇的街道上。
,20342,碎魂狼王的复仇,战胜碎魂狼王[count 1],,这是一匹来自北方的狼王，走在湖畔镇的街道上。
,20343,碎魂狼王的复仇,战胜碎魂狼王[count 1],,这是一匹来自北方的狼王，走在湖畔镇的街道上。
,20344,碎魂狼王的复仇,战胜碎魂狼王[count 1],,这是一匹来自北方的狼王，走在湖畔镇的街道上。
,20345,碎魂狼王的复仇,战胜碎魂狼王[count 1],,这是一匹来自北方的狼王，走在湖畔镇的街道上。
,20346,神秘怪物的来历,查阅《湖畔怪物志》,,知道你一看书就犯困，可这次事关镇民安全！加油！
,20347,神秘怪物的来历,查阅《湖畔怪物志》,,知道你一看书就犯困，可这次事关镇民安全！加油！
,20348,神秘怪物的来历,查阅《湖畔怪物志》,,知道你一看书就犯困，可这次事关镇民安全！加油！
,20349,神秘怪物的来历,查阅《湖畔怪物志》,,知道你一看书就犯困，可这次事关镇民安全！加油！
,20350,神秘怪物的来历,查阅《湖畔怪物志》,,知道你一看书就犯困，可这次事关镇民安全！加油！
,20351,联盟通缉令,战胜劫匪哥布林[count 1],,老老实实是不可能的，哥布林们总是搞事情。
,20352,联盟通缉令,战胜劫匪哥布林[count 1],,老老实实是不可能的，哥布林们总是搞事情。
,20353,联盟通缉令,战胜劫匪哥布林[count 1],,老老实实是不可能的，哥布林们总是搞事情。
,20354,联盟通缉令,战胜劫匪哥布林[count 1],,老老实实是不可能的，哥布林们总是搞事情。
,20355,联盟通缉令,战胜劫匪哥布林[count 1],,老老实实是不可能的，哥布林们总是搞事情。
,20356,瓦莉尔的心意,将礼物交给麦提,,外公的生日即将到来，外孙女做了顶帽子送给他。
,20357,瓦莉尔的心意,将礼物交给麦提,,外公的生日即将到来，外孙女做了顶帽子送给他。
,20358,瓦莉尔的心意,将礼物交给麦提,,外公的生日即将到来，外孙女做了顶帽子送给他。
,20359,瓦莉尔的心意,将礼物交给麦提,,外公的生日即将到来，外孙女做了顶帽子送给他。
,20360,瓦莉尔的心意,将礼物交给麦提,,外公的生日即将到来，外孙女做了顶帽子送给他。
,20361,追缉盗贼,夺回被抢物资,,不要多想，罗兰镇的盗窃案都是一伙人干的。
,20362,追缉盗贼,夺回被抢物资,,不要多想，罗兰镇的盗窃案都是一伙人干的。
,20363,追缉盗贼,夺回被抢物资,,不要多想，罗兰镇的盗窃案都是一伙人干的。
,20364,追缉盗贼,夺回被抢物资,,不要多想，罗兰镇的盗窃案都是一伙人干的。
,20365,追缉盗贼,夺回被抢物资,,不要多想，罗兰镇的盗窃案都是一伙人干的。
,20366,罗兰之光,参拜罗兰大帝雕像,,现在所拥有的光明和美好，要归功于罗兰大帝。
,20367,罗兰之光,参拜罗兰大帝雕像,,现在所拥有的光明和美好，要归功于罗兰大帝。
,20368,罗兰之光,参拜罗兰大帝雕像,,现在所拥有的光明和美好，要归功于罗兰大帝。
,20369,罗兰之光,参拜罗兰大帝雕像,,现在所拥有的光明和美好，要归功于罗兰大帝。
,20370,罗兰之光,参拜罗兰大帝雕像,,现在所拥有的光明和美好，要归功于罗兰大帝。
,20371,联盟通缉令,战胜黑色荆棘[count 1],,黑色荆棘如恐惧般蔓延到整个罗兰镇，务必小心！
,20372,联盟通缉令,战胜黑色荆棘[count 1],,黑色荆棘如恐惧般蔓延到整个罗兰镇，务必小心！
,20373,联盟通缉令,战胜黑色荆棘[count 1],,黑色荆棘如恐惧般蔓延到整个罗兰镇，务必小心！
,20374,联盟通缉令,战胜黑色荆棘[count 1],,黑色荆棘如恐惧般蔓延到整个罗兰镇，务必小心！
,20375,联盟通缉令,战胜黑色荆棘[count 1],,黑色荆棘如恐惧般蔓延到整个罗兰镇，务必小心！
,20376,风车维护员,检测风车,,事关镇民生活的风车，稍有马虎可能就会出大事。
,20377,风车维护员,检测风车,,事关镇民生活的风车，稍有马虎可能就会出大事。
,20378,风车维护员,检测风车,,事关镇民生活的风车，稍有马虎可能就会出大事。
,20379,风车维护员,检测风车,,事关镇民生活的风车，稍有马虎可能就会出大事。
,20380,风车维护员,检测风车,,事关镇民生活的风车，稍有马虎可能就会出大事。
,20381,黑心商家,捉拿黑心推销员[count 1],,把破木棍说成包治百病的神奇按摩棒，没良心！
,20382,黑心商家,捉拿黑心推销员[count 1],,把破木棍说成包治百病的神奇按摩棒，没良心！
,20383,黑心商家,捉拿黑心推销员[count 1],,把破木棍说成包治百病的神奇按摩棒，没良心！
,20384,黑心商家,捉拿黑心推销员[count 1],,把破木棍说成包治百病的神奇按摩棒，没良心！
,20385,黑心商家,捉拿黑心推销员[count 1],,把破木棍说成包治百病的神奇按摩棒，没良心！
,20386,驱赶拦路劫匪,驱赶劫匪[count 1],,老实的镇民竟然曾经打劫过富商？哎，这世道啊！
,20387,驱赶拦路劫匪,驱赶劫匪[count 1],,老实的镇民竟然曾经打劫过富商？哎，这世道啊！
,20388,驱赶拦路劫匪,驱赶劫匪[count 1],,老实的镇民竟然曾经打劫过富商？哎，这世道啊！
,20389,驱赶拦路劫匪,驱赶劫匪[count 1],,老实的镇民竟然曾经打劫过富商？哎，这世道啊！
,20390,驱赶拦路劫匪,驱赶劫匪[count 1],,老实的镇民竟然曾经打劫过富商？哎，这世道啊！
,20391,联盟通缉令,鹿角兽队长[count 1],,鹿角兽可不是珍稀保护动物，尤其是搞破坏的那种！
,20392,联盟通缉令,鹿角兽队长[count 1],,鹿角兽可不是珍稀保护动物，尤其是搞破坏的那种！
,20393,联盟通缉令,鹿角兽队长[count 1],,鹿角兽可不是珍稀保护动物，尤其是搞破坏的那种！
,20394,联盟通缉令,鹿角兽队长[count 1],,鹿角兽可不是珍稀保护动物，尤其是搞破坏的那种！
,20395,联盟通缉令,鹿角兽队长[count 1],,鹿角兽可不是珍稀保护动物，尤其是搞破坏的那种！
,20396,花店老板的货款 ,将货款带给花店老板,,扩大经营，全国连锁，花店的生意越做越大啦！
,20397,花店老板的货款 ,将货款带给花店老板,,扩大经营，全国连锁，花店的生意越做越大啦！
,20398,花店老板的货款 ,将货款带给花店老板,,扩大经营，全国连锁，花店的生意越做越大啦！
,20399,花店老板的货款 ,将货款带给花店老板,,扩大经营，全国连锁，花店的生意越做越大啦！
,20400,花店老板的货款 ,将货款带给花店老板,,扩大经营，全国连锁，花店的生意越做越大啦！
,20401,镇民的危机,拯救镇民邦妮,,略略略，丧尸甩着黏黏的舌头正向你扑来！ 
,20402,镇民的危机,拯救镇民邦妮,,略略略，丧尸甩着黏黏的舌头正向你扑来！ 
,20403,镇民的危机,拯救镇民邦妮,,略略略，丧尸甩着黏黏的舌头正向你扑来！ 
,20404,镇民的危机,拯救镇民邦妮,,略略略，丧尸甩着黏黏的舌头正向你扑来！ 
,20405,镇民的危机,拯救镇民邦妮,,略略略，丧尸甩着黏黏的舌头正向你扑来！ 
